,id_runningnum,participant_id,agegrp,toi1,toi2,offset,trl_runningnum,event,trigger,artfree,trl_condition,accuracy,rt,beta_insula,beta_LC,pupil,LCr,trl_condition_bin,switch_condition,switch_condition_num,logreactiontime,logreactiontimez,response,bias
0,1,42013,1,48306,50806,-1250,1,70,16,1,1,1.0,1.23377781394083,-0.0109400696991164,-0.997148058683997,2.17515789796045,0.985567603512121,1,,,0.210080855739062,1.37526048891061,1.0,-0.20655785830770462
1,1,42013,1,52293,54793,-1250,2,74,16,1,1,1.0,0.839835458533344,-0.0655563930737051,-0.77170620871011,-0.27529869275945,0.985567603512121,1,stay_standard,1.0,-0.1745492890307,-0.033526096303934,1.0,-0.15782180811017957
2,1,42013,1,54293,56793,-1250,3,78,16,1,3,1.0,1.33595353412602,0.509184566524478,-0.0177990301881173,1.87456628387057,0.985567603512121,2,switch_to_oddball,3.0,0.289645294663828,1.66668152218513,1.0,-1.999945402844789
3,1,42013,1,57293,59793,-1250,4,82,16,1,2,1.0,1.34502983697166,1.04950283224163,-0.247685653719413,-0.516399206355466,0.985567603512121,2,stay_oddball,2.0,0.296416196429803,1.69148133495961,1.0,-1.0484245017116827
4,1,42013,1,59293,61793,-1250,5,86,16,1,1,1.0,0.658101393120887,-0.611262195347039,0.44144079698479,0.710667337093615,0.985567603512121,1,switch_to_standard,4.0,-0.418396266639023,-0.926665533165681,1.0,-0.18026965771860753
5,1,42013,1,61293,63793,-1250,6,90,16,1,1,1.0,0.788169915951585,-0.546911170002736,1.49060483821903,0.79542961596887,0.985567603512121,1,stay_standard,1.0,-0.238041582988748,-0.266079610917666,1.0,-0.18164314816939112
6,1,42013,1,65293,67793,-1250,7,94,16,1,1,1.0,0.790304141453817,0.228726164305896,1.29528446174181,0.592598093234024,0.985567603512121,1,stay_standard,1.0,-0.235337418428344,-0.256175055050912,1.0,-0.17370833104315103
7,1,42013,1,67293,69793,-1250,8,98,16,1,2,1.0,0.722371297040809,0.70232174566725,0.191601834462007,1.39626980021212,0.985567603512121,2,switch_to_oddball,3.0,-0.325216010447233,-0.585373783897234,1.0,-1.0884137872759063
8,1,42013,1,69293,71793,-1250,9,102,16,1,3,1.0,1.14438895553394,0.56760885127833,-0.700835732857195,2.0826061325566,0.985567603512121,2,stay_oddball,2.0,0.134870831268133,1.09978838931289,1.0,-2.0038140783947407
9,1,42013,1,74293,76793,-1250,10,106,16,1,1,1.0,0.995552210770256,-0.60895653787937,-0.270244992294345,0.689852936730822,0.985567603512121,1,switch_to_standard,4.0,-0.0044577100724005,0.589469105587611,1.0,-0.17984184142401333
10,1,42013,1,76293,78793,-1250,11,110,16,1,1,1.0,0.798601372640405,0.117655796478798,0.223651082876096,-0.527436772882657,0.985567603512121,1,stay_standard,1.0,-0.224893365546072,-0.217921574932698,1.0,-0.1518629855599529
11,1,42013,1,78293,80793,-1250,12,114,16,1,1,1.0,0.751697880110441,1.45732159553673,0.617895991623247,0.893517056980102,0.985567603512121,1,stay_standard,1.0,-0.285420790929814,-0.43961565189911,1.0,-0.1735837331619184
12,1,42013,1,80293,82793,-1250,13,118,16,1,1,1.0,0.609759736911656,0.247883304867848,1.43311364521791,-1.11363516926793,0.985567603512121,1,stay_standard,1.0,-0.494690273318803,-1.20610793934287,1.0,-0.1394878800903022
13,1,42013,1,83293,85793,-1250,14,122,16,1,1,1.0,0.719804410862707,-1.295693993686,-0.789218105444099,-0.237004373559712,0.985567603512121,1,stay_standard,1.0,-0.328775755455583,-0.598412078172244,1.0,-0.1647383824972358
14,1,42013,1,87294,89794,-1250,15,126,16,1,2,1.0,1.07498012873839,2.38405201542108,0.513040989813384,0.397234507792849,0.985567603512121,2,switch_to_oddball,3.0,0.0723021765142564,0.870617892224195,1.0,-1.0600244300787518
15,1,42013,1,89294,91794,-1250,16,130,16,1,1,1.0,0.757011793401034,0.196110195570693,-0.384982806130489,0.639802530569544,0.985567603512121,1,switch_to_standard,4.0,-0.278376446536538,-0.413814299566681,1.0,-0.17481549963353746
16,1,42013,1,93294,95794,-1250,17,134,16,1,1,1.0,0.964166083052987,-1.82614361305115,0.834212324927234,-1.05508316166299,0.985567603512121,1,stay_standard,1.0,-0.036491713886328,0.472138013738878,1.0,-0.151029054831996
17,1,42013,1,96294,98794,-1250,18,138,16,1,1,1.0,0.711275230314641,-1.47022273777093,-0.0060567723868758,-0.806853360041391,0.985567603512121,1,stay_standard,1.0,-0.340695820969152,-0.642071756485929,1.0,-0.15421404648802686
18,1,42013,1,98294,100794,-1250,19,142,16,1,1,1.0,0.700322171182052,-1.01912838334258,0.981534858903374,0.78472295635066,0.985567603512121,1,stay_standard,1.0,-0.35621480527298,-0.698913211064261,1.0,-0.18379010104372615
19,1,42013,1,102294,104794,-1250,20,146,16,1,2,1.0,1.12843675279873,1.12805380124006,-0.7790204372319,0.231783266498567,0.985567603512121,2,switch_to_oddball,3.0,0.120833270333771,1.04837295086539,1.0,-1.062995396323771
20,1,42013,1,104294,106794,-1250,21,150,16,1,1,1.0,0.721510715182376,0.820529991190148,0.948194674718767,0.272354037711864,0.985567603512121,1,switch_to_standard,4.0,-0.326408049620866,-0.589739871214362,1.0,-0.16434443079828656
21,1,42013,1,106294,108794,-1250,22,154,16,1,1,1.0,0.688607977808715,0.0685762189448572,-1.65974956645201,0.514631732726051,0.985567603512121,1,stay_standard,1.0,-0.373083142596299,-0.760696947100322,1.0,-0.17294975355979678
