,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_beta_insula|participant_id_mu,-0.012,0.266,-0.468,0.536,0.04,0.029,43.0,93.0,1.01
z_pupil|participant_id_offset[62283],0.643,0.41,-0.068,1.37,0.076,0.059,28.0,44.0,1.09
z_pupil|participant_id_offset[62293],-0.015,0.75,-1.38,1.273,0.305,0.227,6.0,35.0,1.3
z_pupil|participant_id_offset[62303],0.549,0.501,-0.205,1.572,0.075,0.053,42.0,86.0,1.01
z_pupil|participant_id_offset[62313],-0.848,0.53,-1.846,0.053,0.086,0.061,39.0,87.0,1.02
z_pupil|participant_id_offset[62323],-0.275,0.485,-1.216,0.48,0.099,0.071,25.0,66.0,1.08
z_pupil|participant_id_offset[62333],-1.813,0.695,-3.146,-0.378,0.118,0.092,36.0,27.0,1.09
z_pupil|participant_id_offset[62343],-0.246,0.552,-1.263,0.683,0.087,0.062,40.0,44.0,1.03
z_pupil|participant_id_offset[62363],0.089,0.634,-1.052,1.29,0.115,0.096,31.0,62.0,1.15
z_pupil|participant_id_offset[62373],-0.795,0.591,-1.884,0.184,0.254,0.193,6.0,46.0,1.29
z_pupil|participant_id_offset[62393],0.167,0.92,-1.553,1.828,0.531,0.419,3.0,17.0,1.73
z_pupil|participant_id_offset[62403],-0.838,0.628,-1.869,0.286,0.2,0.148,10.0,49.0,1.16
z_pupil|participant_id_offset[62413],-0.493,0.511,-1.632,0.326,0.072,0.051,53.0,87.0,1.03
z_pupil|participant_id_offset[62423],-1.504,0.743,-3.086,-0.273,0.138,0.104,32.0,55.0,1.05
z_pupil|participant_id_offset[62433],-0.288,0.496,-1.258,0.554,0.072,0.051,47.0,88.0,1.04
z_pupil|participant_id_offset[62443],-0.895,0.624,-2.014,0.296,0.226,0.166,8.0,90.0,1.23
v_1|participant_id[42013],-0.439,0.24,-0.833,0.028,0.042,0.03,33.0,45.0,1.02
v_1|participant_id[42023],0.981,0.357,0.361,1.773,0.077,0.055,23.0,32.0,1.08
v_1|participant_id[42033],-0.446,0.275,-0.967,0.077,0.056,0.04,23.0,77.0,1.08
v_1|participant_id[42043],0.136,0.254,-0.347,0.576,0.038,0.027,47.0,80.0,1.05
v_1|participant_id[42053],1.447,0.397,0.658,2.118,0.09,0.064,20.0,62.0,1.06
v_1|participant_id[42063],-0.627,0.26,-1.064,-0.025,0.078,0.057,11.0,21.0,1.19
v_1|participant_id[42073],1.259,0.268,0.843,1.858,0.041,0.029,44.0,201.0,1.05
v_1|participant_id[42083],-0.558,0.353,-1.254,0.044,0.143,0.115,7.0,12.0,1.23
v_1|participant_id[42103],0.567,0.243,0.134,0.975,0.076,0.055,10.0,86.0,1.15
v_1|participant_id[42123],0.263,0.363,-0.461,0.914,0.074,0.063,24.0,27.0,1.08
v_1|participant_id[42133],0.709,0.323,-0.019,1.255,0.059,0.042,35.0,37.0,1.05
