,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_beta_insula|participant_id_mu,-0.012,0.266,-0.468,0.536,0.04,0.029,43.0,93.0,1.01
"z_switch_condition_num|participant_id_offset[3.0, 42213]",-0.162,0.153,-0.416,0.134,0.038,0.028,17.0,27.0,1.12
"z_switch_condition_num|participant_id_offset[3.0, 42233]",-1.335,0.175,-1.665,-1.04,0.03,0.022,38.0,113.0,1.06
"z_switch_condition_num|participant_id_offset[3.0, 42253]",-1.501,0.195,-1.848,-1.108,0.045,0.033,20.0,47.0,1.09
"z_switch_condition_num|participant_id_offset[3.0, 42263]",-1.563,0.209,-1.95,-1.161,0.065,0.047,11.0,39.0,1.15
"z_switch_condition_num|participant_id_offset[3.0, 42273]",-0.966,0.179,-1.365,-0.674,0.056,0.042,11.0,63.0,1.14
"z_switch_condition_num|participant_id_offset[3.0, 42283]",-1.255,0.18,-1.596,-0.924,0.026,0.019,49.0,117.0,1.04
"z_switch_condition_num|participant_id_offset[3.0, 42293]",-0.964,0.163,-1.262,-0.643,0.019,0.014,72.0,126.0,1.03
"z_switch_condition_num|participant_id_offset[3.0, 42303]",-0.531,0.141,-0.824,-0.283,0.035,0.026,17.0,37.0,1.1
"z_switch_condition_num|participant_id_offset[3.0, 42313]",-1.297,0.173,-1.65,-1.002,0.026,0.019,45.0,240.0,1.05
"z_switch_condition_num|participant_id_offset[3.0, 42323]",-0.358,0.127,-0.62,-0.149,0.016,0.011,67.0,106.0,1.01
"z_switch_condition_num|participant_id_offset[3.0, 42343]",-0.341,0.148,-0.644,-0.084,0.035,0.026,16.0,39.0,1.11
"z_switch_condition_num|participant_id_offset[3.0, 42353]",-1.674,0.205,-2.109,-1.345,0.078,0.059,8.0,69.0,1.2
"z_switch_condition_num|participant_id_offset[3.0, 42363]",-0.734,0.141,-0.968,-0.45,0.023,0.016,40.0,152.0,1.05
"z_switch_condition_num|participant_id_offset[3.0, 42373]",-1.145,0.202,-1.545,-0.803,0.043,0.031,22.0,87.0,1.11
"z_switch_condition_num|participant_id_offset[3.0, 42383]",-1.181,0.171,-1.472,-0.811,0.029,0.02,34.0,91.0,1.07
"z_switch_condition_num|participant_id_offset[3.0, 42393]",-0.636,0.154,-0.893,-0.362,0.022,0.015,54.0,184.0,1.03
"z_switch_condition_num|participant_id_offset[3.0, 42403]",-0.808,0.165,-1.137,-0.518,0.042,0.031,16.0,66.0,1.1
"z_switch_condition_num|participant_id_offset[3.0, 42413]",-0.944,0.169,-1.256,-0.678,0.044,0.033,18.0,215.0,1.1
"z_switch_condition_num|participant_id_offset[3.0, 42423]",-0.366,0.117,-0.59,-0.135,0.012,0.008,95.0,182.0,1.06
"z_switch_condition_num|participant_id_offset[3.0, 62013]",-0.944,0.183,-1.28,-0.62,0.039,0.028,23.0,107.0,1.07
"z_switch_condition_num|participant_id_offset[3.0, 62023]",0.412,0.161,0.123,0.695,0.046,0.037,13.0,45.0,1.12
"z_switch_condition_num|participant_id_offset[3.0, 62043]",-0.731,0.158,-1.013,-0.449,0.019,0.014,68.0,193.0,1.02
"z_switch_condition_num|participant_id_offset[3.0, 62063]",-1.041,0.18,-1.375,-0.708,0.036,0.026,26.0,76.0,1.08
"z_switch_condition_num|participant_id_offset[3.0, 62073]",0.429,0.144,0.151,0.691,0.02,0.014,54.0,68.0,1.05
"z_switch_condition_num|participant_id_offset[3.0, 62093]",-0.812,0.173,-1.129,-0.448,0.038,0.03,25.0,27.0,1.08
"z_switch_condition_num|participant_id_offset[3.0, 62103]",-1.51,0.23,-1.907,-1.07,0.029,0.021,66.0,192.0,1.02
"z_switch_condition_num|participant_id_offset[3.0, 62113]",-0.945,0.165,-1.23,-0.65,0.028,0.02,35.0,241.0,1.07
"z_switch_condition_num|participant_id_offset[3.0, 62123]",-0.834,0.175,-1.137,-0.553,0.06,0.045,9.0,134.0,1.19
"z_switch_condition_num|participant_id_offset[3.0, 62133]",-1.164,0.176,-1.48,-0.816,0.022,0.016,62.0,92.0,1.02
"z_switch_condition_num|participant_id_offset[3.0, 62143]",-1.107,0.189,-1.426,-0.764,0.04,0.029,24.0,146.0,1.1
"z_switch_condition_num|participant_id_offset[3.0, 62153]",-1.375,0.173,-1.74,-1.092,0.041,0.03,20.0,42.0,1.09
"z_switch_condition_num|participant_id_offset[3.0, 62163]",-0.739,0.137,-1.016,-0.475,0.017,0.012,66.0,220.0,1.05
"z_switch_condition_num|participant_id_offset[3.0, 62173]",-1.106,0.178,-1.43,-0.765,0.031,0.023,32.0,166.0,1.06
"z_switch_condition_num|participant_id_offset[3.0, 62193]",-1.276,0.19,-1.641,-0.934,0.03,0.021,39.0,191.0,1.07
"z_switch_condition_num|participant_id_offset[3.0, 62213]",-0.689,0.173,-1.02,-0.379,0.045,0.033,14.0,58.0,1.11
"z_switch_condition_num|participant_id_offset[3.0, 62233]",-1.672,0.179,-2.019,-1.374,0.047,0.035,14.0,42.0,1.11
"z_switch_condition_num|participant_id_offset[3.0, 62253]",-0.815,0.158,-1.128,-0.54,0.019,0.013,72.0,80.0,1.02
"z_switch_condition_num|participant_id_offset[3.0, 62263]",-1.094,0.204,-1.483,-0.757,0.036,0.026,34.0,114.0,1.05
"z_switch_condition_num|participant_id_offset[3.0, 62273]",-1.019,0.177,-1.39,-0.704,0.031,0.024,39.0,31.0,1.04
"z_switch_condition_num|participant_id_offset[3.0, 62283]",-0.963,0.193,-1.271,-0.541,0.052,0.038,13.0,42.0,1.14
"z_switch_condition_num|participant_id_offset[3.0, 62293]",-0.943,0.172,-1.297,-0.639,0.033,0.025,29.0,78.0,1.09
"z_switch_condition_num|participant_id_offset[3.0, 62303]",-1.68,0.2,-2.074,-1.342,0.042,0.031,27.0,96.0,1.08
"z_switch_condition_num|participant_id_offset[3.0, 62313]",-0.794,0.15,-1.046,-0.508,0.025,0.018,36.0,89.0,1.04
"z_switch_condition_num|participant_id_offset[3.0, 62323]",-0.628,0.134,-0.885,-0.391,0.017,0.012,64.0,194.0,1.03
"z_switch_condition_num|participant_id_offset[3.0, 62333]",-0.861,0.187,-1.173,-0.507,0.025,0.018,54.0,87.0,1.02
"z_switch_condition_num|participant_id_offset[3.0, 62343]",-1.22,0.201,-1.577,-0.847,0.049,0.038,18.0,22.0,1.09
"z_switch_condition_num|participant_id_offset[3.0, 62363]",-0.569,0.177,-0.869,-0.233,0.027,0.02,42.0,76.0,1.11
"z_switch_condition_num|participant_id_offset[3.0, 62373]",-1.083,0.158,-1.337,-0.765,0.02,0.014,66.0,197.0,1.03
"z_switch_condition_num|participant_id_offset[3.0, 62393]",-0.732,0.18,-1.061,-0.394,0.037,0.027,24.0,103.0,1.12
"z_switch_condition_num|participant_id_offset[3.0, 62403]",-1.196,0.171,-1.501,-0.85,0.027,0.02,43.0,105.0,1.05
"z_switch_condition_num|participant_id_offset[3.0, 62413]",-1.033,0.203,-1.443,-0.62,0.03,0.023,49.0,52.0,1.06
"z_switch_condition_num|participant_id_offset[3.0, 62423]",-1.023,0.182,-1.364,-0.72,0.027,0.02,49.0,67.0,1.06
"z_switch_condition_num|participant_id_offset[3.0, 62433]",-0.712,0.143,-0.966,-0.438,0.022,0.017,42.0,142.0,1.06
"z_switch_condition_num|participant_id_offset[3.0, 62443]",-0.954,0.165,-1.226,-0.613,0.034,0.025,24.0,103.0,1.08
"z_switch_condition_num|participant_id_offset[4.0, 42013]",-0.802,0.195,-1.131,-0.437,0.061,0.044,10.0,144.0,1.17
"z_switch_condition_num|participant_id_offset[4.0, 42023]",-1.088,0.2,-1.478,-0.709,0.027,0.019,56.0,86.0,1.03
"z_switch_condition_num|participant_id_offset[4.0, 42033]",-1.071,0.251,-1.462,-0.557,0.036,0.026,48.0,108.0,1.01
"z_switch_condition_num|participant_id_offset[4.0, 42043]",-1.531,0.259,-2.008,-1.043,0.031,0.022,70.0,248.0,1.02
"z_switch_condition_num|participant_id_offset[4.0, 42053]",-0.696,0.194,-1.11,-0.338,0.029,0.021,42.0,140.0,1.05
"z_switch_condition_num|participant_id_offset[4.0, 42063]",-0.716,0.235,-1.125,-0.228,0.035,0.025,48.0,37.0,1.04
"z_switch_condition_num|participant_id_offset[4.0, 42073]",-0.42,0.215,-0.812,-0.036,0.054,0.046,18.0,56.0,1.09
"z_switch_condition_num|participant_id_offset[4.0, 42083]",-0.868,0.239,-1.395,-0.482,0.04,0.029,37.0,47.0,1.07
"z_switch_condition_num|participant_id_offset[4.0, 42103]",-0.841,0.221,-1.207,-0.386,0.029,0.021,60.0,161.0,1.03
"z_switch_condition_num|participant_id_offset[4.0, 42123]",-0.734,0.242,-1.149,-0.299,0.086,0.063,8.0,85.0,1.22
"z_switch_condition_num|participant_id_offset[4.0, 42133]",-1.014,0.248,-1.417,-0.534,0.044,0.032,32.0,58.0,1.04
"z_switch_condition_num|participant_id_offset[4.0, 42143]",-0.716,0.212,-1.091,-0.335,0.04,0.032,30.0,82.0,1.08
"z_switch_condition_num|participant_id_offset[4.0, 42153]",-1.393,0.25,-1.921,-0.977,0.04,0.029,39.0,86.0,1.03
"z_switch_condition_num|participant_id_offset[4.0, 42163]",0.144,0.188,-0.194,0.516,0.052,0.038,14.0,23.0,1.14
"z_switch_condition_num|participant_id_offset[4.0, 42173]",-0.992,0.302,-1.552,-0.487,0.049,0.035,39.0,63.0,1.07
"z_switch_condition_num|participant_id_offset[4.0, 42183]",-0.819,0.219,-1.271,-0.417,0.075,0.057,10.0,18.0,1.16
"z_switch_condition_num|participant_id_offset[4.0, 42203]",-0.29,0.203,-0.63,0.063,0.031,0.022,46.0,135.0,1.06
"z_switch_condition_num|participant_id_offset[4.0, 42213]",-0.968,0.306,-1.398,-0.265,0.059,0.043,28.0,55.0,1.02
"z_switch_condition_num|participant_id_offset[4.0, 42233]",-0.758,0.204,-1.115,-0.373,0.031,0.022,46.0,150.0,1.03
"z_switch_condition_num|participant_id_offset[4.0, 42253]",-0.574,0.173,-0.914,-0.245,0.022,0.016,65.0,58.0,1.02
"z_switch_condition_num|participant_id_offset[4.0, 42263]",-1.115,0.261,-1.671,-0.587,0.036,0.026,61.0,32.0,1.04
"z_switch_condition_num|participant_id_offset[4.0, 42273]",-0.615,0.198,-1.003,-0.247,0.031,0.022,41.0,167.0,1.05
"z_switch_condition_num|participant_id_offset[4.0, 42283]",-0.731,0.235,-1.219,-0.345,0.043,0.031,29.0,40.0,1.06
"z_switch_condition_num|participant_id_offset[4.0, 42293]",-1.11,0.33,-1.719,-0.481,0.117,0.086,9.0,54.0,1.23
"z_switch_condition_num|participant_id_offset[4.0, 42303]",-1.05,0.288,-1.686,-0.617,0.088,0.064,12.0,78.0,1.14
"z_switch_condition_num|participant_id_offset[4.0, 42313]",-0.634,0.237,-1.162,-0.176,0.062,0.048,15.0,42.0,1.13
"z_switch_condition_num|participant_id_offset[4.0, 42323]",-1.039,0.253,-1.533,-0.609,0.043,0.031,37.0,99.0,1.11
"z_switch_condition_num|participant_id_offset[4.0, 42343]",-0.765,0.233,-1.207,-0.364,0.059,0.042,16.0,43.0,1.09
"z_switch_condition_num|participant_id_offset[4.0, 42353]",-1.737,0.251,-2.272,-1.317,0.034,0.024,57.0,169.0,1.02
"z_switch_condition_num|participant_id_offset[4.0, 42363]",-0.954,0.258,-1.441,-0.485,0.048,0.035,29.0,54.0,1.06
"z_switch_condition_num|participant_id_offset[4.0, 42373]",-1.272,0.288,-1.759,-0.621,0.043,0.031,44.0,82.0,1.04
"z_switch_condition_num|participant_id_offset[4.0, 42383]",-1.378,0.246,-1.868,-0.961,0.061,0.044,16.0,125.0,1.12
"z_switch_condition_num|participant_id_offset[4.0, 42393]",-0.634,0.245,-1.081,-0.14,0.036,0.027,48.0,25.0,1.04
"z_switch_condition_num|participant_id_offset[4.0, 42403]",-0.219,0.176,-0.553,0.069,0.053,0.039,12.0,49.0,1.15
"z_switch_condition_num|participant_id_offset[4.0, 42413]",-0.486,0.256,-0.933,0.027,0.039,0.027,45.0,23.0,1.03
"z_switch_condition_num|participant_id_offset[4.0, 42423]",-0.609,0.187,-0.966,-0.267,0.037,0.03,25.0,101.0,1.07
"z_switch_condition_num|participant_id_offset[4.0, 62013]",-1.003,0.273,-1.639,-0.598,0.052,0.041,32.0,18.0,1.06
"z_switch_condition_num|participant_id_offset[4.0, 62023]",-0.337,0.273,-0.811,0.099,0.047,0.034,35.0,105.0,1.03
"z_switch_condition_num|participant_id_offset[4.0, 62043]",-1.015,0.271,-1.504,-0.577,0.056,0.04,25.0,104.0,1.08
"z_switch_condition_num|participant_id_offset[4.0, 62063]",-0.603,0.231,-1.121,-0.205,0.035,0.025,44.0,48.0,1.01
"z_switch_condition_num|participant_id_offset[4.0, 62073]",0.002,0.269,-0.544,0.426,0.064,0.046,17.0,93.0,1.12
"z_switch_condition_num|participant_id_offset[4.0, 62093]",-0.569,0.188,-0.859,-0.185,0.022,0.016,72.0,88.0,1.03
"z_switch_condition_num|participant_id_offset[4.0, 62103]",-1.166,0.251,-1.628,-0.644,0.04,0.029,40.0,62.0,1.04
"z_switch_condition_num|participant_id_offset[4.0, 62113]",-1.429,0.267,-1.961,-0.965,0.029,0.021,82.0,128.0,1.03
"z_switch_condition_num|participant_id_offset[4.0, 62123]",-0.278,0.266,-0.705,0.213,0.055,0.04,24.0,100.0,1.08
"z_switch_condition_num|participant_id_offset[4.0, 62133]",-1.136,0.229,-1.579,-0.683,0.026,0.019,79.0,70.0,1.01
"z_switch_condition_num|participant_id_offset[4.0, 62143]",-0.518,0.257,-1.018,-0.105,0.069,0.05,15.0,68.0,1.12
"z_switch_condition_num|participant_id_offset[4.0, 62153]",-0.313,0.2,-0.699,-0.008,0.052,0.037,16.0,73.0,1.1
"z_switch_condition_num|participant_id_offset[4.0, 62163]",-1.477,0.268,-1.985,-0.997,0.037,0.027,52.0,148.0,1.01
"z_switch_condition_num|participant_id_offset[4.0, 62173]",-1.252,0.235,-1.678,-0.802,0.031,0.022,57.0,90.0,1.05
"z_switch_condition_num|participant_id_offset[4.0, 62193]",-2.081,0.308,-2.612,-1.452,0.047,0.034,42.0,148.0,1.03
"z_switch_condition_num|participant_id_offset[4.0, 62213]",-1.127,0.281,-1.558,-0.522,0.038,0.028,55.0,88.0,1.06
"z_switch_condition_num|participant_id_offset[4.0, 62233]",-1.088,0.273,-1.619,-0.608,0.062,0.044,19.0,64.0,1.12
"z_switch_condition_num|participant_id_offset[4.0, 62253]",-0.368,0.21,-0.752,-0.002,0.038,0.027,31.0,95.0,1.11
"z_switch_condition_num|participant_id_offset[4.0, 62263]",-0.85,0.265,-1.401,-0.345,0.054,0.043,26.0,16.0,1.04
"z_switch_condition_num|participant_id_offset[4.0, 62273]",-0.531,0.209,-0.922,-0.194,0.068,0.05,10.0,108.0,1.15
"z_switch_condition_num|participant_id_offset[4.0, 62283]",-0.636,0.175,-0.979,-0.322,0.023,0.017,58.0,97.0,1.04
"z_switch_condition_num|participant_id_offset[4.0, 62293]",-0.59,0.241,-1.108,-0.197,0.038,0.027,41.0,63.0,1.03
"z_switch_condition_num|participant_id_offset[4.0, 62303]",-1.1,0.212,-1.505,-0.708,0.024,0.017,77.0,117.0,1.04
"z_switch_condition_num|participant_id_offset[4.0, 62313]",-1.09,0.245,-1.509,-0.601,0.031,0.024,67.0,54.0,1.02
"z_switch_condition_num|participant_id_offset[4.0, 62323]",-0.22,0.258,-0.686,0.25,0.053,0.038,24.0,72.0,1.1
"z_switch_condition_num|participant_id_offset[4.0, 62333]",-0.203,0.203,-0.671,0.115,0.032,0.023,42.0,47.0,1.08
"z_switch_condition_num|participant_id_offset[4.0, 62343]",-2.645,0.305,-3.193,-2.041,0.042,0.03,53.0,185.0,1.04
"z_switch_condition_num|participant_id_offset[4.0, 62363]",-1.236,0.254,-1.665,-0.7,0.054,0.039,23.0,67.0,1.07
"z_switch_condition_num|participant_id_offset[4.0, 62373]",-1.133,0.297,-1.639,-0.527,0.04,0.028,55.0,66.0,1.03
"z_switch_condition_num|participant_id_offset[4.0, 62393]",-0.638,0.236,-1.055,-0.162,0.077,0.061,10.0,25.0,1.2
"z_switch_condition_num|participant_id_offset[4.0, 62403]",-0.394,0.202,-0.79,-0.049,0.035,0.025,32.0,107.0,1.04
"z_switch_condition_num|participant_id_offset[4.0, 62413]",-0.851,0.334,-1.427,-0.253,0.086,0.062,13.0,50.0,1.1
"z_switch_condition_num|participant_id_offset[4.0, 62423]",-1.492,0.276,-1.993,-0.978,0.038,0.027,56.0,114.0,1.03
"z_switch_condition_num|participant_id_offset[4.0, 62433]",-0.355,0.248,-0.868,0.057,0.071,0.052,12.0,21.0,1.14
"z_switch_condition_num|participant_id_offset[4.0, 62443]",-0.737,0.244,-1.26,-0.3,0.037,0.026,42.0,142.0,1.05
t_1|participant_id_sigma,0.082,0.008,0.069,0.098,0.003,0.002,7.0,25.0,1.23
z_pupil|participant_id[42013],-0.015,0.008,-0.029,0.001,0.002,0.001,20.0,22.0,1.15
z_pupil|participant_id[42023],-0.001,0.011,-0.022,0.017,0.002,0.001,31.0,78.0,1.04
z_pupil|participant_id[42033],0.005,0.011,-0.016,0.024,0.005,0.003,6.0,55.0,1.28
z_pupil|participant_id[42043],-0.01,0.01,-0.03,0.007,0.002,0.001,33.0,76.0,1.06
z_pupil|participant_id[42053],0.006,0.009,-0.009,0.023,0.002,0.001,26.0,37.0,1.08
z_pupil|participant_id[42063],0.006,0.01,-0.015,0.025,0.002,0.001,39.0,76.0,1.04
z_pupil|participant_id[42073],-0.018,0.011,-0.039,0.001,0.003,0.002,15.0,56.0,1.12
z_pupil|participant_id[42083],-0.016,0.012,-0.037,0.006,0.003,0.002,18.0,69.0,1.12
z_pupil|participant_id[42103],-0.004,0.011,-0.022,0.015,0.003,0.002,18.0,84.0,1.09
z_pupil|participant_id[42123],-0.0,0.01,-0.02,0.017,0.003,0.002,13.0,88.0,1.11
z_pupil|participant_id[42133],0.013,0.009,-0.006,0.028,0.002,0.001,32.0,46.0,1.09
z_pupil|participant_id[42143],-0.034,0.014,-0.058,-0.01,0.003,0.003,17.0,42.0,1.1
z_pupil|participant_id[42153],-0.017,0.013,-0.039,0.007,0.002,0.002,33.0,74.0,1.03
z_pupil|participant_id[42163],0.005,0.007,-0.009,0.02,0.001,0.001,45.0,73.0,1.05
z_pupil|participant_id[42173],0.013,0.012,-0.008,0.035,0.004,0.003,8.0,14.0,1.23
z_pupil|participant_id[42183],0.016,0.013,-0.005,0.041,0.004,0.003,10.0,33.0,1.2
z_pupil|participant_id[42203],-0.009,0.01,-0.023,0.011,0.002,0.001,32.0,174.0,1.06
z_pupil|participant_id[42213],0.002,0.01,-0.014,0.023,0.002,0.002,22.0,75.0,1.11
z_pupil|participant_id[42233],0.013,0.009,-0.002,0.033,0.001,0.001,44.0,117.0,1.07
z_pupil|participant_id[42253],-0.003,0.01,-0.023,0.016,0.002,0.001,33.0,43.0,1.1
z_pupil|participant_id[42263],0.005,0.015,-0.022,0.034,0.003,0.003,24.0,19.0,1.12
z_pupil|participant_id[42273],-0.023,0.012,-0.043,0.0,0.002,0.001,38.0,55.0,1.03
z_pupil|participant_id[42283],0.013,0.011,-0.01,0.029,0.002,0.001,32.0,62.0,1.02
z_pupil|participant_id[42293],-0.002,0.013,-0.021,0.023,0.003,0.002,21.0,44.0,1.07
z_pupil|participant_id[42303],-0.009,0.011,-0.025,0.012,0.003,0.002,11.0,53.0,1.15
z_pupil|participant_id[42313],-0.004,0.01,-0.02,0.018,0.004,0.003,5.0,53.0,1.33
z_pupil|participant_id[42323],-0.008,0.01,-0.028,0.008,0.002,0.002,29.0,41.0,1.13
z_pupil|participant_id[42343],-0.022,0.009,-0.042,-0.008,0.001,0.001,49.0,148.0,1.06
z_pupil|participant_id[42353],0.0,0.01,-0.022,0.015,0.004,0.003,7.0,19.0,1.23
z_pupil|participant_id[42363],-0.013,0.011,-0.036,0.007,0.002,0.001,47.0,95.0,1.06
z_pupil|participant_id[42373],-0.019,0.01,-0.037,-0.001,0.002,0.001,30.0,148.0,1.04
z_pupil|participant_id[42383],0.001,0.013,-0.021,0.025,0.005,0.004,7.0,33.0,1.24
z_pupil|participant_id[42393],-0.018,0.012,-0.041,0.004,0.002,0.002,29.0,37.0,1.09
z_pupil|participant_id[42403],-0.01,0.008,-0.028,0.005,0.001,0.001,61.0,96.0,1.09
z_pupil|participant_id[42413],0.001,0.009,-0.017,0.017,0.001,0.001,58.0,69.0,1.04
z_pupil|participant_id[42423],-0.038,0.009,-0.054,-0.022,0.001,0.001,91.0,316.0,1.04
z_pupil|participant_id[62013],-0.025,0.012,-0.049,-0.001,0.002,0.001,44.0,123.0,1.06
z_pupil|participant_id[62023],-0.023,0.011,-0.039,-0.001,0.002,0.001,30.0,36.0,1.03
z_pupil|participant_id[62043],-0.016,0.01,-0.032,0.005,0.002,0.001,37.0,70.0,1.05
z_pupil|participant_id[62063],-0.016,0.01,-0.035,0.004,0.002,0.001,28.0,20.0,1.14
z_pupil|participant_id[62073],0.011,0.012,-0.011,0.034,0.003,0.002,21.0,62.0,1.06
z_pupil|participant_id[62093],-0.008,0.012,-0.031,0.01,0.005,0.003,7.0,29.0,1.26
z_pupil|participant_id[62103],-0.03,0.012,-0.049,-0.001,0.004,0.003,10.0,30.0,1.17
z_pupil|participant_id[62113],-0.006,0.014,-0.031,0.02,0.003,0.002,19.0,34.0,1.11
z_pupil|participant_id[62123],-0.026,0.016,-0.055,-0.0,0.003,0.003,24.0,42.0,1.09
z_pupil|participant_id[62133],-0.02,0.01,-0.036,0.002,0.002,0.001,28.0,119.0,1.07
z_pupil|participant_id[62143],-0.018,0.009,-0.034,-0.001,0.001,0.001,48.0,109.0,1.04
z_pupil|participant_id[62153],-0.01,0.011,-0.03,0.009,0.004,0.003,8.0,43.0,1.22
z_pupil|participant_id[62163],-0.029,0.011,-0.051,-0.008,0.001,0.001,79.0,104.0,1.03
z_pupil|participant_id[62173],-0.015,0.01,-0.035,0.003,0.002,0.001,35.0,69.0,1.03
z_pupil|participant_id[62193],-0.01,0.011,-0.029,0.009,0.002,0.001,31.0,42.0,1.03
z_pupil|participant_id[62213],-0.002,0.011,-0.022,0.02,0.002,0.002,27.0,47.0,1.23
z_pupil|participant_id[62233],0.015,0.01,-0.003,0.035,0.002,0.002,22.0,152.0,1.1
z_pupil|participant_id[62253],-0.008,0.01,-0.024,0.009,0.004,0.003,5.0,49.0,1.31
z_pupil|participant_id[62263],-0.029,0.01,-0.048,-0.012,0.002,0.001,31.0,70.0,1.09
z_pupil|participant_id[62273],-0.016,0.014,-0.037,0.013,0.004,0.003,13.0,67.0,1.16
z_pupil|participant_id[62283],0.013,0.008,-0.002,0.027,0.001,0.001,39.0,61.0,1.06
z_pupil|participant_id[62293],-0.0,0.014,-0.028,0.023,0.006,0.004,6.0,35.0,1.29
z_pupil|participant_id[62303],0.011,0.01,-0.004,0.03,0.001,0.001,43.0,89.0,1.02
z_pupil|participant_id[62313],-0.017,0.01,-0.036,0.001,0.002,0.001,43.0,87.0,1.02
z_pupil|participant_id[62323],-0.005,0.009,-0.024,0.01,0.002,0.001,25.0,65.0,1.07
z_pupil|participant_id[62333],-0.036,0.014,-0.065,-0.009,0.002,0.002,34.0,30.0,1.08
z_pupil|participant_id[62343],-0.005,0.011,-0.024,0.015,0.002,0.001,41.0,52.0,1.03
z_pupil|participant_id[62363],0.002,0.012,-0.02,0.025,0.002,0.002,32.0,63.0,1.16
z_pupil|participant_id[62373],-0.016,0.012,-0.037,0.002,0.004,0.003,8.0,73.0,1.22
z_pupil|participant_id[62393],0.003,0.018,-0.028,0.036,0.01,0.008,3.0,17.0,1.73
z_pupil|participant_id[62403],-0.016,0.012,-0.037,0.006,0.003,0.003,12.0,48.0,1.13
z_pupil|participant_id[62413],-0.01,0.01,-0.028,0.009,0.001,0.001,55.0,116.0,1.02
z_pupil|participant_id[62423],-0.03,0.015,-0.057,0.0,0.003,0.002,36.0,57.0,1.04
z_pupil|participant_id[62433],-0.006,0.01,-0.025,0.012,0.001,0.001,49.0,88.0,1.03
z_pupil|participant_id[62443],-0.017,0.012,-0.039,0.006,0.004,0.003,8.0,101.0,1.23
t_1|participant_id[42013],0.049,0.023,0.014,0.088,0.01,0.007,6.0,80.0,1.31
t_1|participant_id[42023],-0.111,0.018,-0.143,-0.077,0.007,0.005,8.0,39.0,1.24
t_1|participant_id[42033],-0.045,0.026,-0.093,0.001,0.01,0.007,7.0,35.0,1.2
t_1|participant_id[42043],-0.061,0.022,-0.101,-0.023,0.004,0.003,26.0,99.0,1.1
t_1|participant_id[42053],-0.086,0.019,-0.118,-0.047,0.004,0.003,20.0,20.0,1.06
t_1|participant_id[42063],-0.017,0.019,-0.049,0.025,0.008,0.006,6.0,28.0,1.29
t_1|participant_id[42073],-0.004,0.027,-0.069,0.028,0.014,0.011,4.0,20.0,1.4
t_1|participant_id[42083],-0.024,0.025,-0.059,0.033,0.013,0.01,4.0,14.0,1.5
t_1|participant_id[42103],-0.057,0.023,-0.092,-0.004,0.009,0.007,6.0,17.0,1.28
t_1|participant_id[42123],-0.086,0.027,-0.128,-0.027,0.005,0.004,25.0,41.0,1.14
t_1|participant_id[42133],-0.027,0.024,-0.07,0.012,0.006,0.005,16.0,77.0,1.09
t_1|participant_id[42143],-0.067,0.029,-0.123,-0.02,0.015,0.011,4.0,35.0,1.42
t_1|participant_id[42153],-0.049,0.026,-0.102,-0.005,0.007,0.005,13.0,19.0,1.13
t_1|participant_id[42163],0.029,0.019,-0.002,0.064,0.006,0.004,12.0,44.0,1.19
t_1|participant_id[42173],-0.073,0.021,-0.106,-0.032,0.005,0.003,22.0,50.0,1.04
t_1|participant_id[42183],-0.004,0.022,-0.051,0.033,0.006,0.005,13.0,13.0,1.09
t_1|participant_id[42203],0.018,0.039,-0.068,0.086,0.018,0.014,4.0,28.0,1.51
t_1|participant_id[42213],0.011,0.03,-0.043,0.069,0.006,0.006,23.0,24.0,1.13
t_1|participant_id[42233],-0.065,0.016,-0.099,-0.038,0.003,0.002,37.0,77.0,1.07
t_1|participant_id[42253],-0.067,0.023,-0.107,-0.022,0.008,0.006,10.0,54.0,1.17
t_1|participant_id[42263],0.009,0.02,-0.032,0.039,0.01,0.007,5.0,41.0,1.38
t_1|participant_id[42273],-0.015,0.03,-0.062,0.035,0.016,0.013,4.0,65.0,1.52
t_1|participant_id[42283],-0.076,0.03,-0.134,-0.03,0.007,0.005,19.0,44.0,1.06
t_1|participant_id[42293],0.027,0.036,-0.026,0.101,0.015,0.011,6.0,12.0,1.26
t_1|participant_id[42303],0.05,0.034,-0.006,0.111,0.016,0.012,5.0,23.0,1.34
t_1|participant_id[42313],-0.083,0.017,-0.114,-0.055,0.006,0.005,7.0,35.0,1.22
t_1|participant_id[42323],-0.01,0.025,-0.045,0.04,0.007,0.005,12.0,23.0,1.12
t_1|participant_id[42343],0.023,0.022,-0.016,0.061,0.01,0.008,5.0,65.0,1.32
t_1|participant_id[42353],-0.115,0.022,-0.155,-0.076,0.008,0.006,8.0,71.0,1.21
t_1|participant_id[42363],-0.138,0.032,-0.182,-0.064,0.007,0.005,29.0,56.0,1.07
t_1|participant_id[42373],-0.122,0.028,-0.19,-0.083,0.014,0.011,4.0,13.0,1.42
t_1|participant_id[42383],-0.08,0.021,-0.116,-0.041,0.006,0.004,12.0,17.0,1.15
t_1|participant_id[42393],-0.12,0.026,-0.162,-0.064,0.009,0.006,9.0,25.0,1.18
t_1|participant_id[42403],0.012,0.025,-0.031,0.05,0.007,0.005,11.0,54.0,1.17
t_1|participant_id[42413],-0.12,0.025,-0.163,-0.072,0.009,0.007,7.0,21.0,1.22
